[INFO ] [044421.834.826]   Aligning...
[DEBUG] [044425.175.620]   2320000 <0.204767 0.144748 9.79615> <12.9026 -1.86847 3.53792>
[DEBUG] [044425.195.619]   2340000 <0.208653 0.147619 9.77309> <12.9942 -1.89034 3.58091>
[DEBUG] [044425.215.620]   2360000 <0.212589 0.150533 9.74705> <13.0855 -1.91216 3.6238>
[DEBUG] [044425.235.618]   2380000 <0.21658 0.153493 9.71808> <13.1765 -1.93394 3.66661>
[DEBUG] [044425.255.619]   2400000 <0.220626 0.156503 9.68622> <13.2672 -1.95566 3.7093>
[DEBUG] [044425.275.619]   2420000 <0.224733 0.159565 9.65152> <13.3577 -1.97734 3.7519>
[DEBUG] [044425.295.621]   2440000 <0.228904 0.162682 9.61403> <13.4478 -1.99895 3.79437>
[DEBUG] [044425.315.618]   2460000 <0.233142 0.165859 9.57382> <13.5377 -2.02051 3.83673>
[DEBUG] [044425.335.619]   2480000 <0.237451 0.169097 9.53092> <13.6273 -2.04201 3.87896>
[DEBUG] [044425.355.618]   2500000 <0.241835 0.172402 9.48541> <13.7166 -2.06344 3.92106>
[DEBUG] [044425.375.636]   2520000 <0.246298 0.175777 9.43734> <13.8056 -2.08481 3.96302>
[DEBUG] [044425.395.618]   2540000 <0.250845 0.179225 9.38677> <13.8943 -2.10612 4.00484>
[DEBUG] [044425.415.619]   2560000 <0.25548 0.182752 9.33376> <13.9827 -2.12735 4.0465>
[DEBUG] [044425.435.618]   2580000 <0.260207 0.186361 9.27838> <14.0709 -2.14851 4.08801>
[DEBUG] [044425.455.620]   2600000 <0.265032 0.190058 9.22069> <14.1588 -2.1696 4.12936>
[DEBUG] [044425.475.619]   2620000 <0.26996 0.193846 9.16077> <14.2464 -2.19061 4.17054>
[DEBUG] [044425.495.620]   2640000 <0.274995 0.19773 9.09867> <14.3337 -2.21154 4.21155>
[DEBUG] [044425.515.618]   2660000 <0.280142 0.201716 9.03447> <14.4208 -2.2324 4.25238>
[DEBUG] [044425.535.620]   2680000 <0.285408 0.205808 8.96824> <14.5075 -2.25317 4.29302>
[DEBUG] [044425.555.619]   2700000 <0.290797 0.210012 8.90005> <14.594 -2.27385 4.33348>
[DEBUG] [044425.575.620]   2720000 <0.296315 0.214334 8.82998> <14.6802 -2.29445 4.37374>
[DEBUG] [044425.595.619]   2740000 <0.301968 0.218778 8.75809> <14.7661 -2.31496 4.4138>
[DEBUG] [044425.615.620]   2760000 <0.307762 0.223351 8.68446> <14.8518 -2.33538 4.45366>
[DEBUG] [044425.635.618]   2780000 <0.313703 0.228058 8.60917> <14.9372 -2.3557 4.49331>
[DEBUG] [044425.655.619]   2800000 <0.319797 0.232905 8.5323> <15.0223 -2.37593 4.53274>
[DEBUG] [044425.675.619]   2820000 <0.32605 0.237899 8.45392> <15.1071 -2.39607 4.57195>
[DEBUG] [044425.695.619]   2840000 <0.332468 0.243046 8.3741> <15.1917 -2.4161 4.61093>
[DEBUG] [044425.715.633]   2860000 <0.339058 0.248352 8.29294> <15.2759 -2.43604 4.64969>
[DEBUG] [044425.735.621]   2880000 <0.345827 0.253823 8.2105> <15.36 -2.45588 4.68821>
[DEBUG] [044425.755.619]   2900000 <0.352781 0.259467 8.12687> <15.4437 -2.47561 4.7265>
[DEBUG] [044425.775.620]   2920000 <0.359926 0.26529 8.04212> <15.5272 -2.49524 4.76454>
[DEBUG] [044425.795.618]   2940000 <0.36727 0.271298 7.95634> <15.6104 -2.51476 4.80233>
[DEBUG] [044425.815.620]   2960000 <0.37482 0.277499 7.8696> <15.6933 -2.53417 4.83987>
[DEBUG] [044425.835.617]   2980000 <0.382581 0.283901 7.78199> <15.7759 -2.55347 4.87715>
[DEBUG] [044425.855.620]   3000000 <0.390563 0.290509 7.69359> <15.8583 -2.57266 4.91418>
[DEBUG] [044425.875.618]   3020000 <0.39877 0.297332 7.60447> <15.9404 -2.59174 4.95093>
[DEBUG] [044425.895.620]   3040000 <0.407211 0.304376 7.51472> <16.0223 -2.6107 4.98742>
[DEBUG] [044425.915.621]   3060000 <0.415893 0.311649 7.42442> <16.1039 -2.62954 5.02363>
[DEBUG] [044425.935.620]   3080000 <0.424823 0.319159 7.33364> <16.1852 -2.64827 5.05957>
[DEBUG] [044425.955.619]   3100000 <0.434007 0.326913 7.24247> <16.2662 -2.66688 5.09523>
[DEBUG] [044425.975.619]   3120000 <0.443454 0.334918 7.15099> <16.347 -2.68537 5.1306>
