freq z1h z2h zpidg(0..3) hpidg(0..3) ppidg(0..3) rpidg(0..3) gz_rc gz_wam maxmrate mg
100 0 0 0 0 1 0 0 0 0.3 0 1 0 0.5 0 1 0 0.5 0 0.1 0.65 500 41

time      z1             z2             dz             hdg    pitch  roll   cal tz   th   tp   tr   zov         hov         pov         rov         m1  m2  m3  m4  err       
1.880     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.890     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.900     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.910     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.920     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.930     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.940     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.950     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.960     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.970     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.980     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
1.990     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.000     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.010     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.020     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.030     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.040     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.050     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.060     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.070     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.080     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.090     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.100     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.110     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.120     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.130     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.140     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.150     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.160     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.170     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.180     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.190     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.200     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.210     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.220     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.230     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.240     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.250     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.260     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.270     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.280     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.290     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.300     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.310     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.320     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.330     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.340     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.350     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.360     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.370     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.380     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.390     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.400     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.410     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.420     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.430     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.440     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.450     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
2.460     25             19             22.9           10     4      -3     0   0    150  0    0    0           0           -4          3           48  40  34  42  000000000 
